,Object Number,image_path,Culture Area,Culture,Date Made,Description,Materials,Object Title,Period,Provenience,Section
11,10872,images/10872.jpg,Great Plains Culture Area (uncertain),Indian,one,"Wood. Stone point. Feathered, painted.",Wood | Stone,Arrow,Mousterian,Peru | Pachacamac | Gravefield I,American
32,11712,images/11712.jpg,Southeast Culture Area,Cherokee,three,"Buff Ware painted with figure of three discs, black with red centers. Rim edge alternate red and black dashes. Flat base; convex side; rim nearly vertical. Loop handle.",Ceramic,Cup,Bronze Age,United States of America | North Carolina,American
37,11819,images/11819.jpg,Central American,Cocle,300-500 CE,Carved crocodile figure on underside with frog figure sitting on its shoulders.,Reed (plant),Metate,Early Christian,Central America,American
62,12677,images/12677.jpg,Central American,Totonac,600-900AD,"Lava (stone). Quadrangular slab with V-shaped notch above. Human-headed figure with crest, sunken eyes, lalling tongue? (Beard?), protuberant body and short flexed legs.",Lava Stone,Palma,Late Classic,Mexico (Central America) | Veracruz (Mexico),American
64,12696,images/12696.jpg,Central American,Lowland Maya,800-900 CE,Mold-made vessel with scene showing mirrored images of the ruler of the Maya Underworld.,Ceramic,Vessel,Late Classic,Guatemala | Mexico (Central America),American
65,12699,images/12699.jpg,Central American,Lowland Maya,600-800 CE,Painted vase showing scenes of deities drawing sacrificial blood from their penises.,Ceramic,Vase,Late Classic,Guatemala | Huehuetenango,American
66,12701,images/12701.jpg,Central American,Maya,circa 1200,"Image of pizote. Grayish stone. Seated animal with long nose, holding front paws over nose. Rather eroded and blackened.",Stone,Sculpture,Mousterian,Guatemala | Department of Quiche,American
67,12702,images/12702.jpg,Central American,Maya,700-100 CE,Ceramic censor lid in the form of a jaguar figure holding a heart.,Clay | Ceramic,Censer Lid,Late Classic,Guatemala | Kaminaljuyu,American
68,12703,images/12703.jpg,Central American,Maya,800-1000 CE,Similar to 12702. See #12601.,Clay,Censer Lid (uncertain),Late Classic,Guatemala,American
70,12708,images/12708.jpg,Southwest Culture Area,Pueblo,One,Turquiose beads.,Turquoise,Beads,Iron Age | Hallstatt I | Bylany Phase,New Mexico,American
167,14425,images/14425.jpg,Southeast Culture Area,Cherokee,Three,"Eight loose bone beads. The beads are irregular in shape, three are cylindrical while the remaining five have an elongated ovular shape. The beads vary in size, with the smallest having a height of 0.3 cm and a width of 0.5 cm and the largest having a height of 1.2 cm and a width of 0.8 cm. Three of the beads have missing sides, while the remaining beads have scratches as most. The beads are mostly a dark brown color, but some have green and lighter brown parts.",Bone (unidentified),Beads,Achaemenid,United States of America | Louisiana (uncertain) | Mississippi (uncertain) | Harrison County | Biloxi (uncertain),American
171,14522,images/14522.jpg,Southeast Culture Area,Cherokee,1200-1399 CE,"Terracotta (upper portion). Head and bust, fragment of vessel. Red pottery. Two holes drilled through shoulder.",Terracotta,Figure,13th Century | 14th Century,United States of America | Mississippi | Jefferson County (Mississippi) | Ferguson Plantation,American
190,15324,images/15324.jpg,Arctic Culture Area,Eskimo,two,"Three pieces. One etched ivory, two wood.",Wood | Ivory | Skin,Drill Bow Set,Roman Period,Alaska,American
