,Culture Area,Country,Period,Material,Culture,Data Points Count
11,Andean,Peru,Iron Age,Ceramic,Inca,18
12,Andean,Peru,Iron Age,Cotton,Inca,27
14,Andean,Peru,Iron Age,Wool,Inca,16
20,Andean,Peru,Mousterian,Cotton,Inca,20
23,Andean,Peru,Proto-Nasca,Ceramic,Paracas,36
56,California,California,Geometric Period,Fiber,Pomo,28
84,Central American,Guatemala,Early Dynastic,Cotton,Quiche,20
88,Central American,Guatemala,Geometric Period,Cotton,Cakchiquel,24
132,Central American,Mexico,Late Classic,Jade,Cocle,44
148,Central American,Panama,Geometric Period,Gold,Cocle,101
250,Great Plains,United States of America,Mousterian,Chalcedony,Sioux,24
259,Great Plains,United States of America,Mousterian,Wood,Arapaho,31
271,Great Plains,United States of America,Roman Period,Buckskin,Sioux,19
325,Northeast,United States of America,Late Adena,Flint,Woodland,26
337,Northeast,United States of America,Mousterian,Quartz,Woodland,22
398,Southeast,United States of America,Mousterian,Flint,Cherokee,17
427,Southwest,Arizona,Late Minoan I,Clay,Hopi,18
438,Southwest,Arizona,Mousterian,Clay,Anasazi,19
440,Southwest,Arizona,Mousterian,Silver,Navajo,15
469,Southwest,Colorado,Mousterian,Clay,Anasazi,18
470,Southwest,Colorado,Mousterian,Clay,Cliff Dweller,19
472,Southwest,Colorado,Mousterian,Stone,Cliff Dweller,23
486,Southwest,New Mexico,Historic,Clay,Pueblo,41
491,Southwest,New Mexico,Iron Age,Clay,Pueblo,18
502,Southwest,New Mexico,Mousterian,Clay,Pueblo,18
542,Southwest,Northeast Arizona,Cypro-Geometric IA,Clay,Prehistoric Pueblo,94
551,Southwest,Northeast Arizona,Mousterian,Clay,Anasazi,74
554,Southwest,Northeast Arizona,Pueblo IV,Clay,Protohistoric Hopi,22
582,Southwest,Southeastern Utah,Mousterian,Stone,Cliff Dweller,33
593,Southwest,Southwest Colorado,Iron Age,Stone,Basket-Maker,21
640,Southwest,United States of America,Late Minoan I,Wood,Hopi,21
644,Southwest,United States of America,Mousterian,Bone,Cliff Dweller,17
661,Southwest,United States of America,Mousterian,Stone,Cliff Dweller,17
663,Southwest,United States of America,Mousterian,Wood,Cliff Dweller,22
666,Southwest,United States of America,Mousterian,Yucca,Cliff Dweller,29
685,Subarctic,Canada,Late Minoan I,Wood,Naskapi,15
